"id","num_scars","num_tattoos","num_other_marks"
"A93267",0,1,0
"A93270",0,3,0
"A93275",0,2,0
"A93280",1,1,0
"A93333",1,3,0
"A93339",0,2,0
"A93421",0,2,0
"A93441",1,1,0
"A93480",0,0,1
"A93489",4,1,0
"A93501",0,1,0
"A93524",0,5,0
"A93553",0,3,0
"A93570",2,2,0
"A93573",1,2,0
"A93601",0,3,0
"A93650",2,3,0
"A93664",1,2,0
"A93676",3,0,0
"A93696",1,3,1
"A93699",2,0,0
"A93734",1,0,0
"A93747",0,1,0
"A93754",1,4,0
"A93755",2,2,0
"A95046",0,5,0
"A96043",2,1,0
"A96044",3,2,0
"A96072",0,5,0
"A96092",0,5,0
"A96128",1,4,0
"A96174",1,2,0
"A96180",1,0,0
"A96214",1,4,0
"A96270",1,4,0
"A97512",0,1,0
"A97519",1,4,0
"A97532",0,0,1
"A97536",0,2,0
"A97665",1,1,0
"A97723",0,5,0
"A97772",2,3,0
"A97785",2,3,0
"A97801",0,4,0
"A97808",0,5,0
"A97828",0,5,0
"A97884",0,5,0
"A97885",5,0,0
"A97917",0,4,0
"A98155",0,5,0
"A98206",1,2,0
"A98222",0,5,0
"A98232",2,2,0
"A98333",0,5,0
"A98347",2,3,0
"B00002",2,3,0
"B00018",0,0,1
"B00040",2,0,0
"B00045",0,5,0
"B00050",0,1,0
"B00077",0,5,0
"B00094",0,2,0
"B00118",0,3,0
"B00124",0,1,0
"B00131",0,5,0
"B00149",0,5,0
"B00160",0,5,0
"B00161",0,5,0
"B00203",0,5,0
"B00206",2,1,0
"B00208",0,4,0
"B00217",0,5,0
"B00230",0,2,0
"B00255",0,2,0
"B00270",1,0,0
"B00284",0,4,0
"B00291",3,2,0
"B00296",0,5,0
"B00298",1,3,0
"B00315",0,0,1
"B00327",0,5,0
"B00347",0,3,1
"B00358",0,0,1
"B00368",0,2,0
"B00375",0,5,0
"B00387",0,5,0
"B00398",0,5,0
"B00447",0,4,0
"B00466",0,2,0
"B00481",1,4,0
"B00489",1,4,0
"B00492",0,1,0
"B00496",0,2,0
"B00499",2,1,0
"B00510",1,3,0
"B00528",2,0,0
"B00538",0,5,0
"B00562",0,5,0
"B00573",1,1,0
"B00578",0,2,0
"B00591",0,5,0
"B00592",0,5,0
"B00611",0,5,0
"B00613",4,1,0
"B00618",0,3,0
"B00627",0,4,0
"B00632",2,0,0
"B00643",0,0,1
"B00651",1,3,0
"B00659",0,3,0
"B00663",0,4,0
"B00691",0,5,0
"B00708",0,0,1
"B00719",1,0,0
"B00727",0,5,0
"B00732",0,1,0
"B00734",0,2,0
"B00750",0,3,0
"B00778",1,4,0
"B00780",0,5,0
"B00796",0,5,0
"B00804",0,5,0
"B00830",0,5,0
"B00832",0,0,1
"B00838",0,3,0
"B00845",0,5,0
"B00846",0,2,0
"B00847",2,2,1
"B00856",0,5,0
"B00860",0,5,0
"B00862",1,0,0
"B00892",1,2,0
"B00914",1,2,0
"B00927",1,0,0
"B00944",0,2,0
"B00951",0,0,1
"B00956",0,1,0
"B00964",0,0,1
"B00984",0,5,0
"B01000",1,4,0
"B01016",0,2,0
"B01021",1,1,0
"B01031",0,0,1
"B01035",0,1,0
"B01042",0,4,0
"B01049",1,3,0
"B01092",0,5,0
"B01098",0,5,0
"B01101",0,5,0
"B01103",1,2,0
"B01127",0,5,0
"B01131",0,2,0
"B01140",0,2,0
"B01148",1,1,1
"B01151",0,5,0
"B01157",0,2,0
"B01158",0,2,0
"B01160",0,5,0
"B01196",1,1,0
"B01215",0,2,0
"B01240",0,2,0
"B01243",2,3,0
"B01266",0,1,0
"B01272",0,1,0
"B01276",0,2,0
"B01291",0,4,0
"B01299",0,2,0
"B01303",0,5,0
"B01331",0,5,0
"B01334",1,0,0
"B01349",1,4,0
"B01351",0,4,0
"B01357",1,2,0
"B01358",0,5,0
"B01370",0,5,0
"B01391",0,4,0
"B01414",1,1,0
"B01433",0,4,0
"B01455",0,5,0
"B01475",0,0,1
"B01480",0,5,0
"B01482",3,2,0
"B01486",1,1,0
"B01507",1,2,0
"B01508",0,0,1
"B01518",0,1,0
"B01546",0,5,0
"B01589",0,4,0
"B01593",2,0,0
"B01608",0,2,0
"B01625",1,4,0
"B01640",1,2,0
"B01651",0,5,0
"B01655",0,5,0
"B01658",0,0,1
"B01665",0,1,0
"B01671",1,0,0
"B01678",0,5,0
"B01684",0,2,0
"B01686",2,1,0
"B01698",1,0,0
"B01699",0,5,0
"B01708",0,0,1
"B01715",3,2,0
"B01731",0,2,0
"B01733",0,4,0
"B01740",0,0,1
"B01785",0,5,0
"B01808",2,2,0
"B01826",1,3,0
"B01828",2,1,2
"B01851",1,2,0
"B01855",0,3,0
"B01868",0,5,0
"B01886",1,0,0
"B01898",0,5,0
"B01934",1,2,0
"B01935",0,5,0
"B01941",1,0,0
"B01946",0,3,0
"B01954",0,2,0
"B01960",0,5,0
"B01964",1,2,0
"B01969",1,0,0
"B01971",0,5,0
"B01979",2,3,0
"B01985",0,4,0
"B01987",1,1,0
"B01994",0,2,0
"B01998",0,2,0
"B02002",3,0,0
"B02004",0,3,0
"B02030",1,1,0
"B02043",3,2,0
"B02057",0,5,0
"B02059",0,0,1
"B02066",0,5,0
"B02074",0,3,0
"B02089",1,0,0
"B02093",0,5,0
"B02126",1,4,0
"B02132",2,3,0
"B02138",1,4,0
"B02149",1,3,0
"B02150",1,0,0
"B02152",1,3,0
"B02159",1,4,0
"B02162",1,4,0
"B02272",2,3,0
"B02275",0,0,1
"B02281",0,0,1
"B02300",1,2,0
"B02330",1,3,0
"B02339",0,5,0
"B02344",2,3,0
